"sequence","category","product_hint","source_filename","file_name","relative_path","public_url","bytes","sha256"
"00011","vestuario","agasalho blade 540x690mm em tecido tactel 4x0 impressao ultra hd sublimatica tamanho p costura","00011_524x524-1-agasalho-blade-540x690mm-em-tecido-tactel-4x0-impressao-ultra-hd-sublimatica-tamanho-p-costura_116380.webp","00011-agasalho-blade-540x690mm-em-tecido-tactel-4x0-impressao.webp","vestuario/00011-agasalho-blade-540x690mm-em-tecido-tactel-4x0-impressao.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/vestuario/00011-agasalho-blade-540x690mm-em-tecido-tactel-4x0-impressao.webp","25938","22b1694f81b5787baa75cfd47f3f93de9d670fd1ec96fdd84c6f36eee871eda7"
"00012","vestuario","agasalho cold 480x700mm em tecido moletom flanelado 4x0 impressao ultra hd sublimatica tamanho p costura","00012_524x524-1-agasalho-cold-480x700mm-em-tecido-moletom-flanelado-4x0-impressao-ultra-hd-sublimatica-tamanho-p-costura_113517.webp","00012-agasalho-cold-480x700mm-em-tecido-moletom-flanelado-4x0.webp","vestuario/00012-agasalho-cold-480x700mm-em-tecido-moletom-flanelado-4x0.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/vestuario/00012-agasalho-cold-480x700mm-em-tecido-moletom-flanelado-4x0.webp","19318","db25f580ef0d8a6083c215d1a730f71f44cbb2091fa146c8059f2f1415b52fe4"
"00013","calendarios-e-agendas","agenda diaria 148x210mm em capa dura e miolo padrao em sulfite 63g 4x0 laminacao frente wire o branco capa dura miolo pa","00013_524x524-1-agenda-diaria-148x210mm-em-capa-dura-e-miolo-padrao-em-sulfite-63g-4x0-laminacao-frente-wire-o-branco-capa-dura-miolo-pa","00013-agenda-diaria-148x210mm-em-capa-dura-e-miolo-padrao-em.webp","calendarios-e-agendas/00013-agenda-diaria-148x210mm-em-capa-dura-e-miolo-padrao-em.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/calendarios-e-agendas/00013-agenda-diaria-148x210mm-em-capa-dura-e-miolo-padrao-em.webp","10840","78451c6bfbca58ca4120aac6834002e93cacc48c3b1a94a4d741ff807d160802"
"00014","calendarios-e-agendas","agenda escolar infantil 140x200mm em capa em couche 300g e miolo padrao em sulfite 75g 4x0 laminacao frente wire o branc","00014_524x524-1-agenda-escolar-infantil-140x200mm-em-capa-em-couche-300g-e-miolo-padrao-em-sulfite-75g-4x0-laminacao-frente-wire-o-branc","00014-agenda-escolar-infantil-140x200mm-em-capa-em-couche-300.webp","calendarios-e-agendas/00014-agenda-escolar-infantil-140x200mm-em-capa-em-couche-300.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/calendarios-e-agendas/00014-agenda-escolar-infantil-140x200mm-em-capa-em-couche-300.webp","22954","96a27ef26627436708fa7e646397f62a911672d99bbdcf70dd9e78807857e0f1"
"00015","calendarios-e-agendas","agenda permanente 148x210mm em capa dura e miolo padrao em sulfite 63g 4x0 laminacao frente wire o branco capa dura","00015_524x524-1-agenda-permanente-148x210mm-em-capa-dura-e-miolo-padrao-em-sulfite-63g-4x0-laminacao-frente-wire-o-branco-capa-dura_1598","00015-agenda-permanente-148x210mm-em-capa-dura-e-miolo-padrao.webp","calendarios-e-agendas/00015-agenda-permanente-148x210mm-em-capa-dura-e-miolo-padrao.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/calendarios-e-agendas/00015-agenda-permanente-148x210mm-em-capa-dura-e-miolo-padrao.webp","11804","80aa234c5328d81fa7f1e019a03abc8bf54a568a500d9c1d4a6d7d7ef2605047"
"00016","personalizados-e-brindes","almofada personalizada 300x300mm em tecido tecnosport 4x0 impressao ultra hd sublimatica costura com ziper enchimento","00016_524x524-1-almofada-personalizada-300x300mm-em-tecido-tecnosport-4x0-impressao-ultra-hd-sublimatica-costura-com-ziper-enchimento_12","00016-almofada-personalizada-300x300mm-em-tecido-tecnosport-4.webp","personalizados-e-brindes/00016-almofada-personalizada-300x300mm-em-tecido-tecnosport-4.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/personalizados-e-brindes/00016-almofada-personalizada-300x300mm-em-tecido-tecnosport-4.webp","12330","ea2d5abc9291df861954a93c7eab6590fef4dc3b3eb33759e75a12ef4aae9055"
"00017","calendarios-e-agendas","apostila 210x297mm em sulfite 75g 1x1 sem enobrecimento wire o branco encadernacao cristal e preto couro","00017_524x524-1-apostila-210x297mm-em-sulfite-75g-1x1-sem-enobrecimento-wire-o-branco-encadernacao-cristal-e-preto-couro_69059.webp","00017-apostila-210x297mm-em-sulfite-75g-1x1-sem-enobrecimento.webp","calendarios-e-agendas/00017-apostila-210x297mm-em-sulfite-75g-1x1-sem-enobrecimento.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/calendarios-e-agendas/00017-apostila-210x297mm-em-sulfite-75g-1x1-sem-enobrecimento.webp","7754","fdd219be679524882d63a0c1e3aa3af369a22a2989d54e52c1f23f3a665f08d0"
"00018","vestuario","avental personalizado 620x560mm em tecido tecnosport 4x0 impressao ultra hd sublimatica tamanho m costura","00018_524x524-1-avental-personalizado-620x560mm-em-tecido-tecnosport-4x0-impressao-ultra-hd-sublimatica-tamanho-m-costura_142444.webp","00018-avental-personalizado-620x560mm-em-tecido-tecnosport-4x.webp","vestuario/00018-avental-personalizado-620x560mm-em-tecido-tecnosport-4x.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/vestuario/00018-avental-personalizado-620x560mm-em-tecido-tecnosport-4x.webp","9774","b315fa7bd475f12eb18be6b0e1a548125dd783f77294f50f5bda26a47b353706"
"00019","vestuario","avental personalizado 620x860mm em tecido tecnosport 4x0 impressao ultra hd sublimatica tamanho m costura","00019_524x524-1-avental-personalizado-620x860mm-em-tecido-tecnosport-4x0-impressao-ultra-hd-sublimatica-tamanho-m-costura_142455_868.web","00019-avental-personalizado-620x860mm-em-tecido-tecnosport-4x.webp","vestuario/00019-avental-personalizado-620x860mm-em-tecido-tecnosport-4x.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/vestuario/00019-avental-personalizado-620x860mm-em-tecido-tecnosport-4x.webp","13396","6a9d53e168c0a183806d1c999357d92f82606e900b3149b62c82ca14ba8c482d"
"00020","personalizados-e-brindes","azulejo personalizado com suporte 95x95mm em ceramica branca 4x0 sem enobrecimento personalizado","00020_524x524-1-azulejo-personalizado-com-suporte-95x95mm-em-ceramica-branca-4x0-sem-enobrecimento-personalizado_22744_539.webp","00020-azulejo-personalizado-com-suporte-95x95mm-em-ceramica-b.webp","personalizados-e-brindes/00020-azulejo-personalizado-com-suporte-95x95mm-em-ceramica-b.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/personalizados-e-brindes/00020-azulejo-personalizado-com-suporte-95x95mm-em-ceramica-b.webp","9912","a34cdc988cbe38061b2b48b0a58a273a6904cf39c0b69a399506421d17a287bb"
"00021","banners-e-sinalizacao","backdrop 3000x2500mm em lona brilho 340g 4x0 sem enobrecimento ilhos","00021_524x524-1-backdrop-3000x2500mm-em-lona-brilho-340g-4x0-sem-enobrecimento-ilhos_24000_855.webp","00021-backdrop-3000x2500mm-em-lona-brilho-340g-4x0-sem-enobre.webp","banners-e-sinalizacao/00021-backdrop-3000x2500mm-em-lona-brilho-340g-4x0-sem-enobre.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00021-backdrop-3000x2500mm-em-lona-brilho-340g-4x0-sem-enobre.webp","12000","38d34bdb928a73ed597e400bc0015b2aff7069c6c4873159db355d0d52b1f76b"
"00022","banners-e-sinalizacao","backdrop m2 em lona brilho 340g 4x0 sem enobrecimento ilhos","00022_524x524-1-backdrop-m2-em-lona-brilho-340g-4x0-sem-enobrecimento-ilhos_24004_617.webp","00022-backdrop-m2-em-lona-brilho-340g-4x0-sem-enobrecimento-i.webp","banners-e-sinalizacao/00022-backdrop-m2-em-lona-brilho-340g-4x0-sem-enobrecimento-i.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00022-backdrop-m2-em-lona-brilho-340g-4x0-sem-enobrecimento-i.webp","17300","9c6d92890c12790adb0055deb7a1bf20f7007bac7241eff6d5ba25f55959488e"
"00023","banners-e-sinalizacao","bandeira 750x1000mm em tecido poliester 4x0 sem enobrecimento bolsa para haste","00023_524x524-1-bandeira-750x1000mm-em-tecido-poliester-4x0-sem-enobrecimento-bolsa-para-haste_66870.webp","00023-bandeira-750x1000mm-em-tecido-poliester-4x0-sem-enobrec.webp","banners-e-sinalizacao/00023-bandeira-750x1000mm-em-tecido-poliester-4x0-sem-enobrec.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00023-bandeira-750x1000mm-em-tecido-poliester-4x0-sem-enobrec.webp","8954","8f43d15891a0f25f86bd12ebc64349535a9649a0b90f4e9b295a3d8042feb63a"
"00024","banners-e-sinalizacao","bandeira com capuz 1450x1230mm em tecido taffeta 4x0 impressao ultra hd sublimatica costura","00024_524x524-1-bandeira-com-capuz-1450x1230mm-em-tecido-taffeta-4x0-impressao-ultra-hd-sublimatica-costura_131674.webp","00024-bandeira-com-capuz-1450x1230mm-em-tecido-taffeta-4x0-im.webp","banners-e-sinalizacao/00024-bandeira-com-capuz-1450x1230mm-em-tecido-taffeta-4x0-im.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00024-bandeira-com-capuz-1450x1230mm-em-tecido-taffeta-4x0-im.webp","13440","16c01a0129bb9ff5ebd4789d1c121622b285af7e5a88ac1db0d2fe0da5da0f7b"
"00025","banners-e-sinalizacao","bandeira para capo de carro 1100x1600mm em tecido dry fit 4x0 impressao ultra hd sublimatica costura_133465 2","00025_524x524-1-bandeira-para-capo-de-carro-1100x1600mm-em-tecido-dry-fit-4x0-impressao-ultra-hd-sublimatica-costura_133465-2.webp","00025-bandeira-para-capo-de-carro-1100x1600mm-em-tecido-dry-f.webp","banners-e-sinalizacao/00025-bandeira-para-capo-de-carro-1100x1600mm-em-tecido-dry-f.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00025-bandeira-para-capo-de-carro-1100x1600mm-em-tecido-dry-f.webp","20740","b0cf44f644a455d11099a3a256c90926ab6ea8a94bc275c794ca7399759bf820"
"00026","banners-e-sinalizacao","bandeira tafeta 1000x700mm em tecido taffeta 4x0 impressao ultra hd sublimatica faca padrao","00026_524x524-1-bandeira-tafeta-1000x700mm-em-tecido-taffeta-4x0-impressao-ultra-hd-sublimatica-faca-padrao_144170.webp","00026-bandeira-tafeta-1000x700mm-em-tecido-taffeta-4x0-impres.webp","banners-e-sinalizacao/00026-bandeira-tafeta-1000x700mm-em-tecido-taffeta-4x0-impres.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00026-bandeira-tafeta-1000x700mm-em-tecido-taffeta-4x0-impres.webp","14034","4cfd6cfabb2d8c0db6656d40ec008f3542a4e70b71e473461fc83e166c19b33c"
"00027","banners-e-sinalizacao","banner 400x600mm em lona brilho 340g 4x0 sem enobrecimento bastao e cordao","00027_524x524-1-banner-400x600mm-em-lona-brilho-340g-4x0-sem-enobrecimento-bastao-e-cordao_22502.webp","00027-banner-400x600mm-em-lona-brilho-340g-4x0-sem-enobrecime.webp","banners-e-sinalizacao/00027-banner-400x600mm-em-lona-brilho-340g-4x0-sem-enobrecime.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00027-banner-400x600mm-em-lona-brilho-340g-4x0-sem-enobrecime.webp","12976","84f5c2a63014ca391d0fca36772558ce254ea6e57ecfcbc557bb50b9bd9dc26e"
"00028","banners-e-sinalizacao","banner 600x900mm em lona fosca 340g 4x0 sem enobrecimento bastao e cordao","00028_524x524-1-banner-600x900mm-em-lona-fosca-340g-4x0-sem-enobrecimento-bastao-e-cordao_96547.webp","00028-banner-600x900mm-em-lona-fosca-340g-4x0-sem-enobrecimen.webp","banners-e-sinalizacao/00028-banner-600x900mm-em-lona-fosca-340g-4x0-sem-enobrecimen.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00028-banner-600x900mm-em-lona-fosca-340g-4x0-sem-enobrecimen.webp","33650","60e0973992293dca32cbc2b3e8592afaa2b77d0fc7e464f5b2eefecbf2837594"
"00029","banners-e-sinalizacao","banner com suporte tripe 600x900mm em lona brilho 340g 4x0 sem enobrecimento bastao e cordao","00029_524x524-1-banner-com-suporte-tripe-600x900mm-em-lona-brilho-340g-4x0-sem-enobrecimento-bastao-e-cordao_13809_731.webp","00029-banner-com-suporte-tripe-600x900mm-em-lona-brilho-340g.webp","banners-e-sinalizacao/00029-banner-com-suporte-tripe-600x900mm-em-lona-brilho-340g.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00029-banner-com-suporte-tripe-600x900mm-em-lona-brilho-340g.webp","9860","e1f0e8bf634bf4d83138d1b92e8139bfd38daf151bf920bce2c33afa76ea1650"
"00030","banners-e-sinalizacao","banner com suporte x 800x1800mm em lona brilho 340g 4x0 sem enobrecimento estrutura inclusa 4 ilhoses","00030_524x524-1-banner-com-suporte-x-800x1800mm-em-lona-brilho-340g-4x0-sem-enobrecimento-estrutura-inclusa-4-ilhoses_23484.webp","00030-banner-com-suporte-x-800x1800mm-em-lona-brilho-340g-4x0.webp","banners-e-sinalizacao/00030-banner-com-suporte-x-800x1800mm-em-lona-brilho-340g-4x0.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00030-banner-com-suporte-x-800x1800mm-em-lona-brilho-340g-4x0.webp","14906","dec41af99e122e941b6a1ef801bd7a215bc5245efc3fa48ee21e3032694ebe2b"
"00031","banners-e-sinalizacao","banner para suporte l 2000x800mm em lona brilho 340g 4x0 sem enobrecimento sem acabamento","00031_524x524-1-banner-para-suporte-l-2000x800mm-em-lona-brilho-340g-4x0-sem-enobrecimento-sem-acabamento_23472_13.webp","00031-banner-para-suporte-l-2000x800mm-em-lona-brilho-340g-4x.webp","banners-e-sinalizacao/00031-banner-para-suporte-l-2000x800mm-em-lona-brilho-340g-4x.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00031-banner-para-suporte-l-2000x800mm-em-lona-brilho-340g-4x.webp","10672","364f9b914589022e6c5d07d130e363b63db92298a862383d82d9ad2e9bea8b59"
"00032","embalagens","baralho personalizado embalagem padrao copa 54x85mm em couche brilho 250g 4x4 sem enobrecimento 4 cantos arredondados","00032_524x524-1-baralho-personalizado-embalagem-padrao-copa-54x85mm-em-couche-brilho-250g-4x4-sem-enobrecimento-4-cantos-arredondados_57","00032-baralho-personalizado-embalagem-padrao-copa-54x85mm-em.webp","embalagens/00032-baralho-personalizado-embalagem-padrao-copa-54x85mm-em.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/embalagens/00032-baralho-personalizado-embalagem-padrao-copa-54x85mm-em.webp","17628","54eab76d0dde7a038f717f8174b40488c49071511aa51aa6208c9a123138bfa8"
"00033","banners-e-sinalizacao","base redonda para wind banner 430x430x140mm em polietileno preto sem impressao sem enobrecimento base plastica","00033_524x524-1-base-redonda-para-wind-banner-430x430x140mm-em-polietileno-preto-sem-impressao-sem-enobrecimento-base-plastica_57156.web","00033-base-redonda-para-wind-banner-430x430x140mm-em-polietil.webp","banners-e-sinalizacao/00033-base-redonda-para-wind-banner-430x430x140mm-em-polietil.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/banners-e-sinalizacao/00033-base-redonda-para-wind-banner-430x430x140mm-em-polietil.webp","6166","2d903e632837c7037c5f901d4c92b02fd6b1ac3bbf8f04b8788a556e74fe3f0c"
"00034","vestuario","bermuda nba 360x510mm em tecido favo 4x0 impressao ultra hd sublimatica tamanho p embalagem individual costura bermuda n","00034_524x524-1-bermuda-nba-360x510mm-em-tecido-favo-4x0-impressao-ultra-hd-sublimatica-tamanho-p-embalagem-individual-costura-bermuda-n","00034-bermuda-nba-360x510mm-em-tecido-favo-4x0-impressao-ultr.webp","vestuario/00034-bermuda-nba-360x510mm-em-tecido-favo-4x0-impressao-ultr.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/vestuario/00034-bermuda-nba-360x510mm-em-tecido-favo-4x0-impressao-ultr.webp","23936","cb8074a9724f57024481aab60d66919968cda598ff129f8d2c7031a997129a63"
"00035","vestuario","bermuda tactel 410x340mm em tecido tactel 4x0 impressao ultra hd sublimatica tamanho p costura","00035_524x524-1-bermuda-tactel-410x340mm-em-tecido-tactel-4x0-impressao-ultra-hd-sublimatica-tamanho-p-costura_115865.webp","00035-bermuda-tactel-410x340mm-em-tecido-tactel-4x0-impressao.webp","vestuario/00035-bermuda-tactel-410x340mm-em-tecido-tactel-4x0-impressao.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/vestuario/00035-bermuda-tactel-410x340mm-em-tecido-tactel-4x0-impressao.webp","19840","fbce71eaf1cc5ec8c623ad486b97cbaeff08a44c84340ea28c8329db7c8ab79a"
"00036","cartoes-e-papelaria","bloco com 100 folhas 100x210mm em sulfite 75g 1x0 sem enobrecimento blocagem com 100 folhas 1 numeracao","00036_524x524-1-bloco-com-100-folhas-100x210mm-em-sulfite-75g-1x0-sem-enobrecimento-blocagem-com-100-folhas-1-numeracao_49127.webp","00036-bloco-com-100-folhas-100x210mm-em-sulfite-75g-1x0-sem-e.webp","cartoes-e-papelaria/00036-bloco-com-100-folhas-100x210mm-em-sulfite-75g-1x0-sem-e.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/cartoes-e-papelaria/00036-bloco-com-100-folhas-100x210mm-em-sulfite-75g-1x0-sem-e.webp","10980","cc12e4ba2817d7dd46b129f3e76242c72a3ba3fba95cdc25ddbbab3cf154f34b"
"00037","cartoes-e-papelaria","bloco com 100 folhas 105x148mm em sulfite 75g 1x0 sem enobrecimento blocagem com 100 folhas","00037_524x524-1-bloco-com-100-folhas-105x148mm-em-sulfite-75g-1x0-sem-enobrecimento-blocagem-com-100-folhas_48839_834.webp","00037-bloco-com-100-folhas-105x148mm-em-sulfite-75g-1x0-sem-e.webp","cartoes-e-papelaria/00037-bloco-com-100-folhas-105x148mm-em-sulfite-75g-1x0-sem-e.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/cartoes-e-papelaria/00037-bloco-com-100-folhas-105x148mm-em-sulfite-75g-1x0-sem-e.webp","6596","18ae82e69ddd027404c2e8547014e29a6ef4943bb6d7a1f343bff52c68a3524d"
